Name,Game_Description,Serebii_In_Depth_Description
Adaptability,"Powers up moves of the same type as the Pokémon.","Increases the Same Type Attack Bonus from *1.5 to *2."
Aerilate,"Normal-type moves become Flying-type moves. The power of those moves is boosted a little.","Increases the power of Normal-type moves by 20%. It then changes those moves to Flying-type."
Aftermath,"Damages the attacker if it contacts the Pokémon with a finishing hit.","The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact."
Air Lock,"Eliminates the effects of weather.","All weather effects are negated while the Pokémon is on the field."
Analytic,"Boosts move power when the Pokémon moves last.","Attack power increases by 30% if the Pokémon is the last Pokémon to attack this turn."
Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Increases Attack to maximum level upon taking a critical hit."
Anticipation,"The Pokémon can sense an opposing Pokémon's dangerous moves.","Warns when the foe knows 1-hit KO or super-effective moves."
Arena Trap,"Prevents opposing Pokémon from fleeing.","The opponent cannot run nor switch. Flying-type Pokémon and Pokémon with the Levitate special ability are unaffected. If this Pokémon switches, the opponent is still trapped for that turn. The opponent may still switch by using Baton Pass."
Aroma Veil,"Protects allies from attacks that limit their move choices.",""
Aura Break,"Reduces power of Dark- and Fairy-type moves.",""
Bad Dreams,"Reduces a sleeping foe's HP.",""
Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.","Retrieves a Poké Ball from a failed throw."
Battery,"Powers up ally Pokémon's special moves.","Boosts Ally Pokémon's Special Attack by 30%."
Battle Armor,"Hard armor protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit."
Battle Bond,"Transform into Ash-Greninja after causing opponent to faint.",""
Beast Boost,"The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.","Increases the Pokémon's highest stat when it knocks out a Pokémon."
Berserk,"Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.","Raises Special Attack when HP drops below half."
Big Pecks,"Protects the Pokémon from Defense-lowering attacks.",""
Blaze,"Powers up Fire-type moves in a pinch.","When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%."
Bulletproof,"Protects the Pokémon from ball and bomb moves.",""
Cheek Pouch,"Restores additional HP when a Berry is consumed.",""
Chlorophyll,"Boosts the Pokémon's Speed stat in sunshine.","When sunny, the Pokémon’s Speed doubles."
Clear Body,"Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.","Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves."
Cloud Nine,"Eliminates the effects of weather.","All weather effects are negated while the Pokémon is on the field."
Color Change,"The Pokémon's type becomes the type of the move used on it.","This Pokémon’s type becomes the type of the last damaging move which hit it."
Comatose,"It's always drowsing and will never wake up. It can attack without waking up.","It acts as if it is affected by the Sleep status condition. All special effects of moves based on the Sleep status condition affect this Pokémon such as Snore & Sleep Talk working from the Pokémon with Comatose and double damage from Hex & Wake-up Slap, Dream Eater & Nightmare and even abilities such as Bad Dreams will activate. This Pokémon can still attack."
Competitive,"Boosts the Sp. Atk stat sharply when a stat is lowered.","Raises Sp. Atk stat by two stages whenever a stat is lowered."
Compound Eyes,"The Pokémon's compound eyes boost its accuracy.","Raises the Pokémon’s accuracy by 30%."
Contrary,"Makes stat changes have an opposite effect.","Moves used on the Pokémon that raise stats lower the stats, while the moves that lower the stats raise the stat."
Corrosion,"The Pokémon can poison the target even if it's a Steel or Poison type.","The Pokémon can poison Steel and Poison types."
Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.","Lowers foe's Speed when hit."
